Rank,Building,City,Country,Height (m),Floors,Built
1,Burj Khalifa,Dubai,UAE,828,163,2010
2,Shanghai Tower,Shanghai,China,632,128,2015
3,Abraj Al-Bait Clock Tower,Mecca, Saudi Arabia,601,120,2012
4,Ping An Finance Centre,Shenzhen, China,599,115,2016
5,Lotte World Tower,Seoul, South Korea,555,123,2016
6,One World Trade Center,New York City, United States,541,104,2014
7,CTF Finance Centre,Guangzhou, China,530,111,2016
8,Taipei 101,Taipei, Republic of China,508,101,2004
9,Shanghai World Financial Center,Shanghai, China,492,101,2008
10,International Commerce Centre,Hong Kong, China,484,118,2010
